Number,Gender,NameSet,GivenName,MiddleInitial,StreetAddress,City,StateFull,ZipCode,CountryFull,EmailAddress,TelephoneNumber,CCNumber,CCExpires,CVV2,NationalID
8132,male,French,Archaimbau,É,"35 rue de la République",LYON,Rhône-Alpes,69001,France,ArchaimbauPoisson@rhyta.com,04.44.02.04.76,5220471316787403,7/2023,952,"1611201186453 17"
8133,female,French,Rachelle,M,"1 avenue de Bouvines",SEVRAN,Île-de-France,93270,France,RachelleChaussee@dayrep.com,01.42.45.46.15,4716366876370778,3/2026,001,"2620285471512 36"
8134,female,French,Tempeste,J,"3 Faubourg Saint Honoré",PARIS,Île-de-France,75019,France,TempesteMelanson@superrito.com,01.44.36.28.24,5367201602662611,5/2025,475,"2890758336520 72"
8135,male,French,Wyatt,J,"85 Chemin Du Lavarin Sud",CALAIS,Nord-Pas-de-Calais,62100,France,WyattDespins@teleworm.us,03.87.02.05.85,4556771982140226,8/2027,631,"1680914781667 29"
8136,male,French,Senapus,J,"18 Square de la Couronne",PALAISEAU,Île-de-France,91120,France,SenapusGrandpre@teleworm.us,01.73.53.30.19,4716046055746226,3/2024,141,"1440881002812 04"
8137,male,French,Jay,A,"11 Place du Jeu de Paume",VILLEJUIF,Île-de-France,94800,France,JayHughes@rhyta.com,01.33.48.67.21,4916065976843498,12/2024,466,"1500225946436 51"
8138,male,French,Donat,J,"35 rue des Nations Unies",SAINT-BENOÎT,Guyane,97470,France,DonatBizier@einrot.com,02.81.48.83.32,4716276617732261,2/2027,356,"1420653031620 51"
8139,male,French,Aloin,A,"78 rue de la Mare aux Carats",MONTROUGE,Île-de-France,92120,France,AloinSouplet@cuvox.de,01.35.26.31.02,4556333076877658,1/2023,396,"1991089539638 07"
8140,female,French,Bernadette,P,"52 rue de Penthièvre",QUIMPER,Bretagne,29000,France,BernadetteAvare@fleckens.hu,02.33.98.75.75,4485246864222976,12/2024,978,"2480787642914 66"
8141,male,French,Tristan,P,"81 rue du Général Ailleret",LENS,Nord-Pas-de-Calais,62300,France,TristanChalifour@armyspy.com,03.28.72.05.13,4539119518619416,5/2026,169,"1670497484765 70"
8142,female,French,Alexandrin,C,"83 quai Saint-Nicolas",TOURS,Centre,37000,France,AlexandrinTruchon@einrot.com,02.64.58.22.61,4556649588083307,11/2025,531,"2990680004349 82"
8143,male,French,Fabrice,A,"86 boulevard Aristide Briand","LE GRAND-QUEVILLY",Haute-Normandie,76120,France,FabriceSevier@jourrapide.com,02.80.55.74.96,5510071117674963,11/2027,547,"1490715506059 59"
8144,male,French,Claude,P,"43 cours Jean Jaures",BOULOGNE-BILLANCOURT,Île-de-France,92100,France,ClaudeBonnet@dayrep.com,01.08.87.45.75,5231309255762564,7/2023,375,"1620622465884 10"
8145,female,French,Odelette,B,"1 avenue du Marechal Juin",SAINT-LEU,Guyane,97436,France,OdeletteAllaire@teleworm.us,02.43.14.38.15,5170502385292642,1/2025,299,"2640835328387 76"
8146,female,French,Blondelle,O,"26 boulevard Amiral Courbet",OYONNAX,Rhône-Alpes,01100,France,BlondelleNarcisse@einrot.com,04.68.92.41.77,5475848182473790,1/2026,713,"2430709928249 31"
8147,male,French,Hardouin,R,"79 boulevard de la Liberation",MARSEILLE,"Provence-Alpes-Côte d'Azur",13014,France,HardouinRossignol@rhyta.com,04.69.81.75.59,4929303954142913,10/2026,409,"1661208890347 06"
8148,male,French,Lowell,D,"98 Rue Marie De Médicis",CANNES-LA-BOCCA,"Provence-Alpes-Côte d'Azur",06150,France,LowellLamarre@cuvox.de,04.53.78.49.38,5166396052701811,6/2023,460,"1561260552782 67"
8149,male,French,Henri,L,"91 rue Léon Dierx",LOMME,Nord-Pas-de-Calais,59160,France,HenriDuplanty@fleckens.hu,03.52.87.26.29,4532456679023989,5/2026,314,"1750843559507 81"
8150,male,French,Sacripant,S,"13 rue Banaudon",LYON,Rhône-Alpes,69006,France,SacripantLouineaux@jourrapide.com,04.22.37.01.83,5211358740883208,12/2024,425,"1021129915317 93"
8151,male,French,Didier,F,"20 rue du Faubourg National",TALENCE,Aquitaine,33400,France,DidierChalut@rhyta.com,05.01.08.75.49,4485093684834097,5/2024,061,"1810104967164 83"
8152,male,French,Louis,F,"9 rue Michel Ange","LE KREMLIN-BICÊTRE",Île-de-France,94270,France,LouisLabrie@dayrep.com,01.52.45.60.52,5339301296820635,5/2025,885,"1640527162730 81"
8153,male,French,Romain,J,"25 Avenue De Marlioz",ARGENTEUIL,Île-de-France,95100,France,RomainLafontaine@armyspy.com,01.81.52.90.54,5574538717058840,8/2027,186,"1780193682867 48"
8154,female,French,Anastasie,S,"78 avenue de Provence",VALENCE,Rhône-Alpes,26000,France,AnastasieGoguen@superrito.com,04.75.90.58.25,4532656924504259,4/2027,224,"2780458856070 60"
8155,female,French,Chantal,A,"86 rue de la République",LYON,Rhône-Alpes,69004,France,ChantalCressac@gustr.com,04.40.72.06.57,5349408174964407,10/2027,012,"2030343753942 37"
8156,male,French,Bernard,N,"12 rue Pierre Motte",SAINTE-FOY-LÈS-LYON,Rhône-Alpes,69110,France,BernardDaviau@einrot.com,04.65.79.88.28,5544892378907655,2/2027,544,"1880547065026 39"
8157,female,French,Denise,Z,"49 rue des six frères Ruellan",SARCELLES,Île-de-France,95200,France,DeniseLauzier@dayrep.com,01.04.75.29.83,4556546341431254,10/2023,821,"2681117019575 87"
8158,female,French,Rive,A,"56 boulevard de Prague",NÎMES,Languedoc-Roussillon,30900,France,RiveLafreniere@einrot.com,04.72.54.02.17,4916273643803834,8/2024,972,"2920925269808 48"
8159,female,French,Diane,D,"79 rue Isambard",FRESNES,Île-de-France,94260,France,DianeDucharme@superrito.com,01.66.63.17.16,4556887199020264,9/2026,081,"2530759319652 53"
8160,female,French,Hélène,B,"36 rue Beauvau",MARSEILLE,"Provence-Alpes-Côte d'Azur",13002,France,HeleneLeroux@rhyta.com,04.47.53.76.17,5196559273142461,7/2024,007,"2790673155903 47"
8161,female,French,Marphisa,M,"63 rue de Geneve",AMIENS,Picardie,80000,France,MarphisaGiroux@einrot.com,03.26.79.56.64,4532654937554361,11/2023,992,"2880548498781 88"
8162,male,French,David,C,"78 rue de l'Epeule",ROUBAIX,Nord-Pas-de-Calais,59100,France,DavidBaril@gustr.com,03.61.74.39.53,5286740741858109,11/2023,327,"1990566523912 75"
8163,male,French,Roland,J,"65 avenue Jules Ferry",SIX-FOURS-LES-PLAGES,"Provence-Alpes-Côte d'Azur",83140,France,RolandPaquin@fleckens.hu,04.29.10.44.06,5155011401493381,2/2023,783,"1020622065136 81"
8164,female,French,Methena,R,"80 rue Pierre De Coubertin",TOULOUSE,Midi-Pyrénées,31400,France,MethenaCartier@fleckens.hu,05.15.63.53.83,5338487834541345,4/2024,422,"2000950362808 24"
8165,female,French,Aubrette,P,"1 rue des Lacs",HERBLAY,Île-de-France,95220,France,AubretteAudibert@cuvox.de,01.28.19.09.31,5410150289009942,6/2027,988,"2601095478053 47"
8166,male,French,Gabriel,P,"25 Rue Frédéric Chopin",VICHY,Auvergne,03200,France,GabrielTurgeon@fleckens.hu,04.24.59.70.82,5490778798139207,11/2024,528,"140012A134471 83"
8167,female,French,Lundy,B,"25 rue de la Boétie",PLAISIR,Île-de-France,78370,France,LundyBelanger@superrito.com,01.73.90.48.95,4556235499075622,6/2025,811,"2641037157077 62"
8168,male,French,Forrest,É,"82 place Stanislas",NANCY,Lorraine,54000,France,ForrestJomphe@einrot.com,03.03.72.73.58,5173080558747806,2/2027,113,"1910782050004 33"
8169,male,French,Dominic,L,"14 rue Porte d'Orange",CARPENTRAS,"Provence-Alpes-Côte d'Azur",84200,France,DominicFluet@teleworm.us,04.71.79.48.00,5264910810404137,11/2024,505,"1521191928387 68"
8170,male,French,Yves,J,"32 rue Jean Vilar",BÈGLES,Aquitaine,33130,France,YvesTollmache@armyspy.com,05.99.20.91.82,5244715697361804,3/2027,865,"1421214507681 51"
8171,male,French,Pryor,V,"36 rue Jean Vilar",BELFORT,Franche-Comté,90000,France,PryorGrivois@armyspy.com,03.70.55.26.76,5181062366094332,3/2024,424,"1770615514451 76"
8172,female,French,Thérèse,A,"79 rue des six frères Ruellan",SANNOIS,Île-de-France,95110,France,ThereseBois@cuvox.de,01.22.06.41.83,5138234300586772,9/2023,491,"2371272811385 41"
8173,female,French,Jolie,T,"99 Rue de la Pompe",MANOSQUE,"Provence-Alpes-Côte d'Azur",04100,France,JolieChnadonnet@einrot.com,04.90.35.25.06,5409232347291697,2/2026,663,"2851097157971 11"
8174,male,French,Chandler,E,"58 Rue Marie De Médicis",CALUIRE-ET-CUIRE,Rhône-Alpes,69300,France,ChandlerDastous@dayrep.com,04.60.07.63.81,5271992716031330,8/2024,918,"1740195315133 03"
8175,female,French,Martine,O,"59 rue Descartes",STRASBOURG,Alsace,67100,France,MartineLaurent@jourrapide.com,03.57.10.59.26,4485636485668377,9/2023,076,"2830933706830 42"
8176,male,French,Huon,A,"77 Chemin Des Bateliers",ANGERS,"Pays de la Loire",49100,France,HuonLacharite@armyspy.com,02.57.77.66.80,4916624336938545,6/2027,008,"1861150774846 81"
8177,female,French,Logistilla,H,"73 rue Jean Vilar",BEAUVAIS,Picardie,60000,France,LogistillaBergeron@gustr.com,03.82.70.26.70,4916260007340636,7/2025,863,"2380676107679 50"
8178,male,French,Nouel,F,"6 place Maurice-Charretier",CHARENTON-LE-PONT,Île-de-France,94220,France,NouelCroteau@einrot.com,01.53.38.21.66,5507333485265278,6/2023,057,"1440121418293 27"
8179,female,French,Martine,A,"67 cours Jean Jaures",BORDEAUX,Aquitaine,33800,France,MartineDuhamel@gustr.com,05.50.19.20.58,4716818805353648,10/2025,196,"2510510352695 21"
8180,female,French,Natalie,Z,"83 rue du Président Roosevelt",SCHILTIGHEIM,Alsace,67300,France,NatalieGrivois@cuvox.de,03.57.02.95.29,5450036558711535,8/2025,773,"2790455732091 08"
8181,female,French,Christabel,D,"39 rue Léon Dierx",LIVRY-GARGAN,Île-de-France,93190,France,ChristabelBeaudouin@superrito.com,01.19.06.97.92,5356927346950895,6/2025,266,"2650772437904 75"
8182,female,French,Alita,T,"60 rue du Général Ailleret","LE TAMPON",Guyane,97430,France,AlitaTougas@armyspy.com,02.90.99.28.89,4716483220631241,5/2025,141,"2370757703194 14"
8183,male,French,Donatien,T,"49 rue Jean Vilar",BEAUVAIS,Picardie,60000,France,DonatienLapierre@teleworm.us,03.45.44.26.44,4539854435621000,9/2026,042,"1900998822495 87"
8184,female,French,Philippine,M,"9 rue du Président Roosevelt",SAVIGNY-LE-TEMPLE,Île-de-France,77176,France,PhilippinePlaisance@cuvox.de,01.05.13.95.00,4929146183059162,3/2026,555,"2790585577432 31"
8185,female,French,Belisarda,C,"69 place Maurice-Charretier",CHAMPS-SUR-MARNE,Île-de-France,77420,France,BelisardaEdouard@superrito.com,01.50.19.35.30,4485136872921620,8/2026,879,"2630761949079 97"
8186,male,French,Campbell,M,"26 rue Ernest Renan",CHERBOURG,Basse-Normandie,50100,France,CampbellMothe@fleckens.hu,02.22.13.47.63,5138917236072533,2/2026,178,"1510286800586 63"
8187,female,French,Suzette,C,"13 Rue de Strasbourg",CLERMONT-FERRAND,Auvergne,63000,France,SuzetteMetivier@gustr.com,04.16.62.77.57,5531086918311388,9/2027,910,"2821158365327 93"
8188,female,French,Pascaline,M,"48 Rue Frédéric Chopin",VICHY,Auvergne,03200,France,PascalineDagenais@fleckens.hu,04.81.16.04.94,4916280014350337,11/2027,495,"2640643159110 34"
8189,female,French,Laurence,A,"32 Rue Hubert de Lisle",LORIENT,Bretagne,56100,France,LaurenceDesruisseaux@dayrep.com,02.96.03.22.40,4532268618573739,1/2024,569,"2771259608099 55"
8190,male,French,Parfait,C,"60 rue Nationale",PARIS,Île-de-France,75003,France,ParfaitGladu@gustr.com,01.27.21.34.74,5469644546046754,5/2027,523,"1901163782528 97"
8191,female,French,Alexandrie,G,"59 rue Michel Ange","LE HAVRE",Haute-Normandie,76610,France,AlexandrieGaudreau@rhyta.com,02.20.46.94.26,5241781825117917,9/2024,148,"2711242514513 13"
8192,male,French,Vallis,P,"73 rue Pierre Motte",SAINTE-FOY-LÈS-LYON,Rhône-Alpes,69110,France,VallisBeauchemin@einrot.com,04.57.59.02.88,4532413636568663,12/2027,552,"1770895832176 32"
8193,male,French,Benjamin,É,"15 rue Marguerite",VILLIERS-SUR-MARNE,Île-de-France,94350,France,BenjaminRene@fleckens.hu,01.97.11.50.08,4716093986255984,5/2025,597,"1780194511716 64"
8194,female,French,Nanna,F,"92 rue Jean Vilar",BELFORT,Franche-Comté,90000,France,NannaSenneville@cuvox.de,03.22.92.83.27,5293633526543262,8/2023,390,"2641283029691 41"
8195,female,French,Melodie,L,"68 rue Bonneterie",MONS-EN-BAROEUL,Nord-Pas-de-Calais,59370,France,MelodieSicard@armyspy.com,03.06.25.85.21,4929083776328961,11/2025,073,"2820912609309 15"
8196,male,French,Eliot,D,"91 rue Banaudon",LYON,Rhône-Alpes,69007,France,EliotMonjeau@armyspy.com,04.44.75.01.49,5564188747519544,1/2024,427,"1730864939685 62"
8197,male,French,Karel,D,"50 Rue Marie De Médicis",CANNES,"Provence-Alpes-Côte d'Azur",06400,France,KarelTremblay@dayrep.com,04.95.97.71.42,4556949001045374,4/2023,517,"1840989283946 47"
8198,male,French,Timothée,A,"23 rue des six frères Ruellan",SARCELLES,Île-de-France,95200,France,TimotheeCartier@armyspy.com,01.35.18.54.71,4485304862033935,3/2024,196,"1710125087938 24"
8199,female,French,Claude,J,"50 rue Adolphe Wurtz","LE PLESSIS-ROBINSON",Île-de-France,92350,France,ClaudeLamare@rhyta.com,01.99.87.12.49,5319037567979692,8/2024,037,"2960635891748 43"
8200,female,French,Eglantine,S,"39 Place Napoléon",LANESTER,Bretagne,56600,France,EglantineArpin@superrito.com,02.31.59.14.07,4916748962115142,1/2024,894,"2590120563694 47"
8201,female,French,Margaux,V,"4 boulevard d'Alsace",VERDUN,Lorraine,55100,France,MargauxPaulet@fleckens.hu,03.07.80.13.40,5358618374843510,6/2026,256,"2470151539288 51"
8202,female,French,Bernadette,T,"39 rue des Soeurs","LA CIOTAT","Provence-Alpes-Côte d'Azur",13600,France,BernadetteCinqMars@jourrapide.com,04.05.88.31.97,4929417223093002,3/2027,201,"2561266912663 38"
8203,female,French,Virginie,F,"64 boulevard de la Liberation",MARSEILLE,"Provence-Alpes-Côte d'Azur",13013,France,VirginiePoissonnier@gustr.com,04.55.21.15.33,5331839155123300,4/2024,455,"2711072871409 11"
8204,male,French,Guillaume,E,"2 rue de la Mare aux Carats",MONTROUGE,Île-de-France,92120,France,GuillaumeGingras@dayrep.com,01.96.11.44.84,4532003902139545,4/2024,724,"1881197208532 03"
8205,female,French,Lucille,A,"34 rue La Boétie",PARIS,Île-de-France,75015,France,LucilleAubin@cuvox.de,01.53.13.60.26,5499183002602242,8/2023,213,"2490889319904 76"
8206,female,French,Genevre,E,"40 rue Goya","LE MANS","Pays de la Loire",72000,France,GenevreJalbert@gustr.com,02.82.55.87.47,5349827083350665,4/2023,255,"2841076438411 32"
8207,male,French,Montague,G,"70 Cours Marechal-Joffre",DENAIN,Nord-Pas-de-Calais,59220,France,MontagueGarceau@fleckens.hu,03.46.09.21.42,4532011849169657,9/2027,467,"1870164256927 15"
8208,male,French,Benoît,H,"56 Place du Jeu de Paume",VIERZON,Centre,18100,France,BenoitCote@cuvox.de,02.03.65.71.03,4929706056162029,7/2023,318,"1820414897009 30"
8209,female,French,Clarimunda,L,"11 rue Petite Fusterie",BOURGES,Centre,18000,France,ClarimundaMailhot@jourrapide.com,02.64.47.66.95,4916291457517936,2/2024,477,"2400233227960 78"
8210,female,French,Creissant,Q,"83 Quai des Belges",MEAUX,Île-de-France,77100,France,CreissantBellemare@teleworm.us,01.92.66.28.76,4539830461598569,2/2027,283,"2920533417026 87"
8211,female,French,Garland,V,"36 place de Miremont",VILLENEUVE-SUR-LOT,Aquitaine,47300,France,GarlandDeGrasse@jourrapide.com,05.01.55.82.64,5129225274861226,11/2024,286,"2420575715495 45"
8212,female,French,Nathalie,C,"33 rue Beauvau",MARSEILLE,"Provence-Alpes-Côte d'Azur",13001,France,NathalieChandonnet@dayrep.com,04.95.31.35.88,5166462112920682,9/2023,999,"2510161064749 85"
8213,male,French,Georges,É,"77 Rue Hubert de Lisle",LORIENT,Bretagne,56100,France,GeorgesDupuis@jourrapide.com,02.78.90.23.32,4539539998063662,9/2024,306,"1420149713068 56"
8214,female,French,Jeanne,C,"3 rue de Lille",AUBAGNE,"Provence-Alpes-Côte d'Azur",13400,France,JeanneTardif@fleckens.hu,04.58.12.15.60,5111942933469635,4/2024,230,"2700842432543 03"
8215,male,French,Saville,L,"32 rue Marie de Médicis",BIARRITZ,Aquitaine,64200,France,SavilleChnadonnet@teleworm.us,05.35.65.88.49,5456187968946072,2/2026,492,"1820608425621 95"
8216,female,French,Fifi,S,"8 rue Grande Fusterie",BRIVE-LA-GAILLARDE,Limousin,19100,France,FifiLaurent@cuvox.de,05.40.13.39.49,5285189663424022,3/2025,950,"2000343176003 03"
8217,female,French,Eugenia,T,"13 rue du Faubourg National",THIONVILLE,Lorraine,57100,France,EugeniaBerard@teleworm.us,03.23.58.87.77,5525958578115093,11/2023,557,"2430951170968 95"
8218,male,French,Paul,M,"5 Rue de Strasbourg",CLERMONT-FERRAND,Auvergne,63000,France,PaulViens@rhyta.com,04.19.24.23.76,5239196435666258,4/2023,252,"1860511234050 89"
8219,female,French,Estelle,F,"76 Chemin Challet",LILLE,Nord-Pas-de-Calais,59000,France,EstelleAyot@teleworm.us,03.83.70.20.79,5225761840476001,6/2025,647,"2580815349840 21"
8220,male,French,Artus,F,"47 rue du Président Roosevelt",SARTROUVILLE,Île-de-France,78500,France,ArtusFrancoeur@gustr.com,01.92.79.02.73,4539768048348795,1/2027,229,"1891193291038 06"
8221,female,French,Marphisa,F,"54 boulevard de la Liberation",MARSEILLE,"Provence-Alpes-Côte d'Azur",13015,France,MarphisaBeaule@jourrapide.com,04.45.56.35.93,5525379138802056,9/2023,670,"2580412574913 05"
8222,male,French,Zacharie,E,"58 rue Cazade",DRANCY,Île-de-France,93700,France,ZacharieGarnier@fleckens.hu,01.24.78.87.52,4556679149096233,4/2027,262,"1681214678921 03"
8223,female,French,Stéphanie,R,"1 rue des Chaligny",NICE,"Provence-Alpes-Côte d'Azur",06200,France,StephanieBeaule@dayrep.com,04.14.16.30.36,4556138572135992,1/2026,600,"2450325427164 02"
8224,male,French,Algernon,C,"51 Rue Hubert de Lisle",LORIENT,Bretagne,56100,France,AlgernonPinneau@rhyta.com,02.43.37.24.59,4485345229033985,9/2027,652,"1440166289763 78"
8225,male,French,Searlas,A,"83 rue Grande Fusterie",BRUNOY,Île-de-France,91800,France,SearlasHetu@gustr.com,01.90.03.87.56,5334621087748363,5/2025,894,"1891291029399 09"
8226,male,French,Arber,F,"6 Rue Joseph Vernet",AVIGNON,"Provence-Alpes-Côte d'Azur",84000,France,ArberLamour@teleworm.us,04.58.14.89.09,5399170908191603,5/2023,261,"1780191455216 94"
8227,female,French,Simone,O,"1 rue du Gue Jacquet",CHÂTELLERAULT,Poitou-Charentes,86100,France,SimoneRiviere@fleckens.hu,05.72.69.92.11,5279991557422048,10/2025,046,"2380173227517 08"
8228,male,French,Sacripant,F,"34 rue Lenotre",REIMS,Champagne-Ardenne,51100,France,SacripantMousseau@armyspy.com,03.07.25.89.09,4532348251310027,12/2025,640,"1810918939501 45"
8229,male,French,Étienne,A,"62 cours Jean Jaures",BORDEAUX,Aquitaine,33800,France,EtienneFavreau@cuvox.de,05.83.05.47.67,5402053764257525,7/2024,897,"1380526633700 86"
8230,male,French,Ganelon,L,"42 rue du Général Ailleret",LENS,Nord-Pas-de-Calais,62300,France,GanelonFrappier@superrito.com,03.03.92.07.69,5267808670795585,1/2023,408,"1670142114430 41"
8231,female,French,Céline,O,"43 rue des Chaligny",NEVERS,Bourgogne,58000,France,CelineSciverit@armyspy.com,03.79.87.77.65,4539294541878071,10/2025,037,"2790382233235 24"
8232,female,French,Alaine,R,"60 rue du Château",SAINT-ÉTIENNE-DU-ROUVRAY,Haute-Normandie,76800,France,AlaineRancourt@superrito.com,02.51.56.59.98,4716475482628139,12/2024,051,"2550191411073 15"
8233,male,French,Édouard,A,"70 Rue de Verdun",MONT-DE-MARSAN,Aquitaine,40000,France,EdouardLanglais@jourrapide.com,05.16.46.12.27,4916103623617112,11/2026,915,"1690140343794 38"
8234,male,French,Sennet,C,"43 rue du Président Roosevelt",SAVIGNY-LE-TEMPLE,Île-de-France,77176,France,SennetLalonde@cuvox.de,01.37.35.02.00,5588123893816180,6/2024,047,"1571253014841 89"
8235,male,French,Audric,R,"9 rue Porte d'Orange",CAYENNE,Guyane,97300,France,AudricJodion@superrito.com,05.61.79.72.62,4485415603162823,12/2027,041,"1440667708072 86"
8236,female,French,Minette,J,"13 rue Victor Hugo",CONFLANS-SAINTE-HONORINE,Île-de-France,78700,France,MinetteBelisle@dayrep.com,01.95.68.61.67,5219823937215342,8/2027,401,"2980465324796 60"
8237,male,French,Honoré,M,"63 rue Cazade",DRANCY,Île-de-France,93700,France,HonoreSanschagrin@jourrapide.com,01.45.69.60.42,4539721274174914,6/2024,131,"1580587471775 13"
8238,male,French,Bruno,E,"38 rue du Faubourg National",THIONVILLE,Lorraine,57100,France,BrunoAube@teleworm.us,03.56.59.98.87,4916785667457114,4/2024,820,"1651146074453 10"
8239,female,French,Virginie,P,"86 Avenue des Tuileries",GRIGNY,Île-de-France,91350,France,VirginieSevier@superrito.com,01.15.28.76.89,5525663868875477,10/2023,886,"2410439718269 22"
8240,male,French,Roland,F,"63 Chemin Des Bateliers",ANGERS,"Pays de la Loire",49000,France,RolandGendron@armyspy.com,02.68.09.74.33,5310167362474729,6/2026,894,"1440298511924 72"
8241,female,French,Suzette,G,"83 rue du Fossé des Tanneurs",TOULON,"Provence-Alpes-Côte d'Azur",83100,France,SuzetteLavoie@rhyta.com,04.99.71.59.80,5458332145267525,11/2027,395,"2890643001782 64"
8242,male,French,Didier,A,"23 Chemin Des Bateliers",ANGERS,"Pays de la Loire",49000,France,DidierTherriault@fleckens.hu,02.36.72.31.85,5578934078504470,3/2026,413,"1520614578380 61"
8243,male,French,Dominique,É,"72 rue Bonneterie",MIRAMAS,"Provence-Alpes-Côte d'Azur",13140,France,DominiqueBilodeau@dayrep.com,04.83.53.61.37,5373787461674863,11/2025,491,"1880182610872 70"
8244,male,French,Dreux,R,"17 rue de l'Epeule",RUEIL-MALMAISON,Île-de-France,92500,France,DreuxLang@gustr.com,01.70.06.01.54,5276929595180247,4/2025,794,"1990380330965 67"
8245,female,French,Catherine,M,"61 rue Gouin de Beauchesne",SAINT-PAUL,Guyane,97460,France,CatherineParenteau@einrot.com,02.51.11.59.49,5588869105776899,3/2027,427,"2760340914562 45"
8246,male,French,Gérard,G,"30 cours Franklin Roosevelt",MARSEILLE,"Provence-Alpes-Côte d'Azur",13008,France,GerardEmond@fleckens.hu,04.52.63.65.76,4556781089060235,4/2027,433,"1730947047475 56"
8247,male,French,Verney,H,"84 rue du Fossé des Tanneurs",TOULON,"Provence-Alpes-Côte d'Azur",83100,France,VerneyAngelil@gustr.com,04.22.47.60.78,4916425874275880,11/2027,356,"1991049412422 69"
8248,male,French,Marmion,S,"27 place Maurice-Charretier",CHAMPIGNY-SUR-MARNE,Île-de-France,94500,France,MarmionRacine@teleworm.us,01.43.38.85.32,5185775296145173,4/2023,315,"1400387972831 36"
8249,male,French,Courtland,A,"14 rue Pierre De Coubertin",TOULOUSE,Midi-Pyrénées,31300,France,CourtlandLacasse@gustr.com,05.04.32.34.91,5103117420182062,4/2027,486,"1660598637133 30"
8250,male,French,Aubrey,A,"43 Faubourg Saint Honoré",PARIS,Île-de-France,75020,France,AubreyMazuret@cuvox.de,01.72.85.85.53,5418952496356046,7/2025,724,"1951013081362 72"
8251,male,French,Guerin,D,"35 rue Charles Corbeau",FOIX,Midi-Pyrénées,09000,France,GuerinDostie@fleckens.hu,05.40.01.09.95,4716118404450188,9/2024,096,"1380175828604 26"
8252,male,French,Jacques,M,"86 rue Bonneterie",MILLAU,Midi-Pyrénées,12100,France,JacquesGarnier@armyspy.com,05.29.50.47.06,4532422161448746,5/2027,486,"1500385654017 60"
8253,female,French,Fayme,G,"63 Rue de Strasbourg",CLERMONT-FERRAND,Auvergne,63000,France,FaymeGrandbois@armyspy.com,04.58.14.47.54,5173596805631964,3/2024,387,"2940231013922 64"
8254,male,French,Philippe,Y,"52 boulevard d'Alsace",VERDUN,Lorraine,55100,France,PhilippeMarleau@fleckens.hu,03.29.69.63.24,5425970091216317,4/2026,858,"1910888693416 70"
8255,male,French,Eustache,M,"31 rue du Château",SAINT-ÉTIENNE,Rhône-Alpes,42100,France,EustacheLAnglais@fleckens.hu,04.77.04.32.66,5143113709724304,3/2025,594,"1580220360438 09"
8256,male,French,Merlin,A,"57 rue du Général Ailleret","LES LILAS",Île-de-France,93260,France,MerlinLabonte@einrot.com,01.81.98.14.20,4716411532285612,5/2027,475,"1521133840045 57"
8257,male,French,Loring,L,"48 rue Pierre De Coubertin",TOULOUSE,Midi-Pyrénées,31100,France,LoringMeunier@armyspy.com,05.85.38.94.68,4532154608266734,2/2025,446,"1670377764882 31"
8258,male,French,Pascal,A,"29 avenue Voltaire",MALAKOFF,Île-de-France,92240,France,PascalCharlebois@cuvox.de,01.76.64.00.11,5268480487851693,9/2027,489,"1540175629370 14"
8259,female,French,Laverne,V,"72 avenue Jules Ferry",SOTTEVILLE-LÈS-ROUEN,Haute-Normandie,76300,France,LavernedeLaunay@rhyta.com,02.86.70.39.59,5166136305132384,5/2025,609,"2780248006276 81"
8260,male,French,Arno,A,"81 rue des Dunes",SAINT-MAUR-DES-FOSSÈS,Île-de-France,94100,France,ArnoLalonde@teleworm.us,01.44.26.66.36,4556854299506899,8/2024,085,"1850168272880 57"
8261,male,French,Verrill,L,"82 rue Clement Marot",PÉRIGUEUX,Aquitaine,24000,France,VerrillDumont@teleworm.us,05.01.92.36.69,4929043220107353,2/2023,208,"1550534974494 71"
8262,female,French,Germaine,L,"54 Square de la Couronne",PALAISEAU,Île-de-France,91120,France,GermaineHebert@superrito.com,01.28.15.16.15,4916578617612239,2/2024,680,"2480809749680 85"
8263,male,French,Amaury,N,"15 Place de la Gare",COLMAR,Alsace,68000,France,AmauryPlaisance@superrito.com,03.38.89.34.67,4916370245661329,6/2026,204,"1770300824597 08"
8264,male,French,Agramant,H,"46 rue de la Boétie",POISSY,Île-de-France,78300,France,AgramantLamontagne@rhyta.com,01.49.43.22.74,5293938040461549,12/2025,192,"1501089196475 57"
8265,male,French,Namo,Y,"64 place de Miremont",VILLENEUVE-LA-GARENNE,Île-de-France,92390,France,NamoGrondin@superrito.com,01.68.95.93.76,5438182833927053,5/2027,987,"1861012612534 55"
8266,female,French,Clarice,R,"14 boulevard Aristide Briand","LE GRAND-QUEVILLY",Haute-Normandie,76120,France,ClariceBeriault@dayrep.com,02.06.91.58.45,4929458503339426,11/2026,848,"2630785563056 91"
8267,female,French,Orva,A,"29 rue du Gue Jacquet",CHÂTENAY-MALABRY,Île-de-France,92290,France,OrvaDumoulin@einrot.com,01.72.03.10.94,5316897617081036,10/2025,213,"2700702912728 62"
8268,female,French,Aceline,P,"39 Place Charles de Gaulle",VILLENAVE-D'ORNON,Aquitaine,33140,France,AcelinePinette@einrot.com,05.34.81.29.66,5371156779863950,10/2023,358,"2510949560815 44"
8269,male,French,Byron,B,"8 rue des six frères Ruellan",SANNOIS,Île-de-France,95110,France,ByronPaimboeuf@rhyta.com,01.66.08.67.44,5414557238195257,6/2024,476,"1770168944475 94"
